Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2023-05-09,NVDA,BUY,17,28.55508041381836,9400.5277261734,{'NVDA': 174},14369.111718177795
2023-05-10,NVDA,BUY,17,28.868907928466797,8909.756291389465,{'NVDA': 191},14423.717705726624
2023-05-11,NVDA,BUY,17,28.56207847595215,8424.200957298279,{'NVDA': 208},14365.113280296326
2023-05-12,NVDA,BUY,17,28.3242130279541,7942.689335823059,{'NVDA': 225},14315.637267112732
2023-05-15,NVDA,BUY,17,28.936870574951172,7450.762536048889,{'NVDA': 242},14453.485215187073
2023-05-16,NVDA,BUY,17,29.196720123291016,6954.418293952942,{'NVDA': 259},14516.368805885315
2023-05-17,NVDA,BUY,16,30.16118621826172,6471.839314460754,{'NVDA': 275},14766.165524482727
2023-05-18,NVDA,BUY,15,31.660350799560547,5996.934052467346,{'NVDA': 290},15178.435784339905
2023-05-19,NVDA,BUY,16,31.24658203125,5496.988739967346,{'NVDA': 306},15058.442841529846
2023-05-22,NVDA,BUY,16,31.158632278442383,4998.450623512268,{'NVDA': 322},15031.530217170715
2023-05-23,NVDA,BUY,16,30.670902252197266,4507.716187477112,{'NVDA': 338},14874.481148719788
2023-05-24,NVDA,BUY,14,30.520984649658203,4080.422402381897,{'NVDA': 352},14823.808999061584
2023-05-25,NVDA,SELL,352,37.958839416503906,17441.933876991272,{},17441.933876991272
