Date,Ticker,Action,Shares,Trade Price,Cash Balance,Portfolio Snapshot,Total Portfolio Value
2022-03-30,GOOGL,BUY,3,141.4258270263672,18787.375339508057,"{'JNJ': 3, 'AMZN': 3, 'GOOGL': 3}",20202.485767364502
2022-03-30,JNJ,SELL,3,165.6833953857422,19284.425525665283,"{'AMZN': 3, 'GOOGL': 3}",20207.605991363525
2022-03-30,NVDA,BUY,18,27.64873695373535,18786.748260498047,"{'AMZN': 3, 'GOOGL': 3, 'NVDA': 18}",20207.605991363525
2022-03-30,V,BUY,2,219.2007751464844,18348.346710205078,"{'AMZN': 3, 'GOOGL': 3, 'NVDA': 18, 'V': 2}",20207.605991363525
2022-03-31,AAPL,BUY,2,171.82582092285156,18004.695068359375,"{'AMZN': 3, 'GOOGL': 3, 'NVDA': 18, 'V': 2, 'AAPL': 2}",20207.605991363525
2022-03-31,AMZN,BUY,3,162.99749755859375,17515.702575683594,"{'AMZN': 6, 'GOOGL': 3, 'NVDA': 18, 'V': 2, 'AAPL': 2}",20197.695499420166
2022-03-31,BRK-B,BUY,1,352.9100036621094,17162.792572021484,"{'AMZN': 6, 'GOOGL': 3, 'NVDA': 18, 'V': 2, 'AAPL': 2, 'BRK-B': 1}",20197.695499420166
2022-03-31,GOOGL,BUY,3,138.565185546875,16747.09701538086,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 18, 'V': 2, 'AAPL': 2, 'BRK-B': 1}",20189.11357498169
2022-03-31,JNJ,BUY,3,163.5061492919922,16256.578567504883,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 18, 'V': 2, 'AAPL': 2, 'BRK-B': 1, 'JNJ': 3}",20189.11357498169
2022-03-31,META,BUY,2,221.5138397216797,15813.550888061523,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 18, 'V': 2, 'AAPL': 2, 'BRK-B': 1, 'JNJ': 3, 'META': 2}",20189.11357498169
2022-03-31,MSFT,BUY,1,301.1374816894531,15512.41340637207,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 18, 'V': 2, 'AAPL': 2, 'BRK-B': 1, 'JNJ': 3, 'META': 2, 'MSFT': 1}",20189.11357498169
2022-03-31,NVDA,BUY,18,27.245336532592773,15021.9973487854,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 36, 'V': 2, 'AAPL': 2, 'BRK-B': 1, 'JNJ': 3, 'META': 2, 'MSFT': 1}",20181.852367401123
2022-03-31,TSLA,BUY,1,359.20001220703125,14662.79733657837,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 36, 'V': 2, 'AAPL': 2, 'BRK-B': 1, 'JNJ': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20181.852367401123
2022-03-31,V,BUY,2,217.0670166015625,14228.663303375244,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 36, 'V': 4, 'AAPL': 2, 'BRK-B': 1, 'JNJ': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20177.58485031128
2022-04-01,AAPL,SELL,2,171.53060913085938,14571.724521636963,"{'AMZN': 6, 'GOOGL': 6, 'NVDA': 36, 'V': 4, 'BRK-B': 1, 'JNJ': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20176.994426727295
2022-04-01,AMZN,BUY,3,163.55999755859375,14081.044528961182,"{'AMZN': 9, 'GOOGL': 6, 'NVDA': 36, 'V': 4, 'BRK-B': 1, 'JNJ': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20180.369426727295
2022-04-01,BRK-B,SELL,1,351.8800048828125,14432.924533843994,"{'AMZN': 9, 'GOOGL': 6, 'NVDA': 36, 'V': 4, 'JNJ': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20179.339427947998
2022-04-01,GOOGL,SELL,6,139.64427185058594,15270.79016494751,"{'AMZN': 9, 'NVDA': 36, 'V': 4, 'JNJ': 3, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20185.813945770264
2022-04-01,JNJ,SELL,3,164.39178466796875,15763.965518951416,"{'AMZN': 9, 'NVDA': 36, 'V': 4, 'META': 2, 'MSFT': 1, 'TSLA': 1}",20188.470851898193
2022-04-01,META,SELL,2,223.9943695068359,16211.954257965088,"{'AMZN': 9, 'NVDA': 36, 'V': 4, 'MSFT': 1, 'TSLA': 1}",20193.431911468506
2022-04-01,MSFT,SELL,1,302.2216796875,16514.175937652588,"{'AMZN': 9, 'NVDA': 36, 'V': 4, 'TSLA': 1}",20194.516109466553
